shapeid;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max
1;94028BC0310_08_SEN_ind01.pdf;94028BC0310;8;2;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;8;NULL;2122526.29043738;2122555.74797876;-63.7600012723973;-39.5219675288149
1.ring1;94028BC0310_08_SEN_ind01.pdf;94028BC0310;8;2;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;8;NULL;2122536.1254164;2122546.31106613;-56.7464060667556;-47.8611774111159
2;94028BF0252_01_SEN_ind01.pdf;94028BF0252;1;2;35;13;22;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;Non dtermin;NULL;2123537.13146615;2123609.03018941;4.53337146559017;61.726966373669
2.ring1;94028BF0252_01_SEN_ind01.pdf;94028BF0252;1;2;35;13;22;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;Non dtermin;NULL;2123569.85998851;2123585.45515307;25.5929428726781;40.091416211874
3;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123557.85274154;2123729.82984192;-211.733270524461;-8.71437025248005
3.ring1;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123675.99315074;2123682.2027219;-123.821689634224;-114.012712526874
3.ring2;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123642.40168704;2123648.09846421;-148.660660071212;-139.609406964134
3.ring3;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123599.33230569;2123605.45083793;-155.456475887759;-146.289843467344
4;94028BF0158_01_SEN_ind01.pdf;94028BF0158;1;1;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;10;NULL;2123934.35385943;2123988.48222698;-21.5316359928274;34.0595950010243
4.ring1;94028BF0158_01_SEN_ind01.pdf;94028BF0158;1;1;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;10;NULL;2123943.07994759;2123958.60483517;5.32842746468322;24.7131144295897
5;94081CI0010_01_SEN_ind01.pdf;94081CI0010;1;1;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;6;NULL;2126888.71169401;2126918.44699801;-20.5040799373383;-0.175531718706626
5.ring1;94081CI0010_01_SEN_ind01.pdf;94081CI0010;1;1;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;6;NULL;2126897.02593207;2126914.86941684;-16.1327062219865;-7.75934385764553
6;94081CM0115_02_SEN_ind01.pdf;94081CM0115;2;1;38;1;37;4;34;33;D > 50m;<30;1;1;1;0;110 X 11;10;NULL;2127168.48478713;2127268.81523941;10.9827458531425;103.12985036751
6.ring1;94081CM0115_02_SEN_ind01.pdf;94081CM0115;2;1;38;1;37;4;34;33;D > 50m;<30;1;1;1;0;110 X 11;10;NULL;2127226.14653468;2127243.13456057;35.1038147072831;51.2407517963179
7;94081BP0093_04_SEN_ind01.pdf;94081BP0093;4;1;48;30;18;0;48;18;D > 50 m;<30;0;2;0;0;35 X 35;12;NULL;2128207.25297127;2128328.62228351;-99.8274928730445;-8.40072284560982
7.ring1;94081BP0093_04_SEN_ind01.pdf;94081BP0093;4;1;48;30;18;0;48;18;D > 50 m;<30;0;2;0;0;35 X 35;12;NULL;2128258.05399233;2128272.25134219;-75.4819501905684;-61.1304864411903
7.ring2;94081BP0093_04_SEN_ind01.pdf;94081BP0093;4;1;48;30;18;0;48;18;D > 50 m;<30;0;2;0;0;35 X 35;12;NULL;2128272.62527312;2128288.83707229;-69.5725550621092;-57.6869377487732
8;94028BE0518_05_SEN_ind01.pdf;94028BE0518;5;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;1;0;0;44 X 44;6;NULL;2123276.74516641;2123360.59453502;-45.5471830102245;48.1994181430463
8.ring1;94028BE0518_05_SEN_ind01.pdf;94028BE0518;5;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;1;0;0;44 X 44;6;NULL;2123312.18312162;2123329.803302;-18.0020591203069;3.24896005185827
8.ring2;94028BE0518_05_SEN_ind01.pdf;94028BE0518;5;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;1;0;0;44 X 44;6;NULL;2123288.3112223;2123301.59678925;-24.8855584913157;-11.6893695766156
8.ring3;94028BE0518_05_SEN_ind01.pdf;94028BE0518;5;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;1;0;0;44 X 44;6;NULL;2123313.78895842;2123327.17500232;23.0251632227492;36.3373166226889
9;94028BE0644_01_SEN_ind01.pdf;94028BE0644;1;3;35;15;20;4;31;16;20m < D <= 30m;entre 60 et 90;1;0;0;0;43 X 42;11;NULL;2123474.98266891;2123501.0517217;-77.3114482998865;-37.1097939625747
9.ring1;94028BE0644_01_SEN_ind01.pdf;94028BE0644;1;3;35;15;20;4;31;16;20m < D <= 30m;entre 60 et 90;1;0;0;0;43 X 42;11;NULL;2123486.83042979;2123490.45040892;-63.8003143998187;-59.5580131279964
10;94076AZ0181_01_SEN_ind01.pdf;94076AZ0181;1;2;99;75;24;0;99;24;10m < D <= 20m;entre 60 et 90;0;1;0;0;50 X 35;4;Parking voitures arien;2129954.58270812;2129992.96317753;-68.6946562802738;-16.5545445733486
11;94046BI0001_03_SEN_ind02.pdf;94046BI0001;3;2;NULL;ND2;ND3;ND4;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;ND14;ND15;2124267.58918854;2124438.20047078;-74.1578646458682;89.8848028829834
11.ring1;94046BI0001_03_SEN_ind02.pdf;94046BI0001;3;2;NULL;ND2;ND3;ND4;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;ND14;ND15;2124381.02554339;2124409.01781588;38.6738397642226;80.1672161456077
11.ring2;94046BI0001_03_SEN_ind02.pdf;94046BI0001;3;2;NULL;ND2;ND3;ND4;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;ND14;ND15;2124285.42489524;2124309.25881847;31.813135164137;71.9534658403537
12;94002AF0134_01_SEN_ind01.pdf;94002AF0134;1;1;35;5;30;1;34;29;0m < D <= 10m;<30;1;0;0;NULL;14 X 4;4;Sous-sol semi-enterr;2124722.89072209;2124736.14033298;26.0496214518781;31.4302109230799
13;94002AE0099_01_SEN_ind01.pdf;94002AE0099;1;1;35;5;30;Non dtermin;NULL;non dtermin;10m < D <= 20m;entre 60 et 90;Non dtermin;1;1;NULL;10 X 10;7;NULL;2124835.6261915;2124845.63217828;-14.7093470655502;-4.71124107322876
14;94002AJ0062_01_SEN_ind01.pdf;94002AJ0062;1;1;35;5;30;4;31;26;30m < D <= 40m;entre 60 et 90;1;5;NULL;2;45 X 30;20;NULL;2125154.74012075;2125171.02277541;-62.510246372725;-46.4763819390181
15;94002AF0031_01_SEN_ind01.pdf;94002AF0031;1;1;35;5;30;3;32;27;0m < D <= 10m;<30;1;1;NULL;NULL;16 X 5;7;NULL;2124720.73402847;2124736.87965832;29.4586169654442;36.2338237883493
16;94002AF0057_01_SEN_ind01.pdf;94002AF0057;1;1;35;5;30;Non dtermin;NULL;non dtermin;30m < D <= 40m;entre 60 et 90;Non dtermin;2;NULL;0;10 X 7;9;NULL;2124576.07160624;2124585.99903733;-26.9383798984152;-12.8241536740859
17;94002AE0174_01_SEN_ind01.pdf;94002AE0174;1;1;35;5;30;0;35;30;30m < D <= 40m;entre 30 et 60;0;0;0;0;21 X 9;3;NULL;2124781.42448783;2124799.28681399;-38.2271837817009;-19.9340520107735
18;94002AJ0014_01_SEN_ind01.pdf;94002AJ0014;1;2;34;5;29;3;31;26;40m < D <= 50m;entre 60 et 90;Nous navons pas pu accder au site;1;1;NULL;10 X 10;8;NULL;2125125.18877173;2125138.47847516;40.1690670826874;52.8405354306006
19;94002AE0084_01_SEN_ind01.pdf;94002AE0084;1;1;35;5;30;2;33;28;Au dessus de l'axe;entre 60 et 90;1;0;1;0;9 X 6;5;NULL;2124853.30889016;2124860.43535072;17.6781527415361;32.1036023167568
20;94002AK0073_01_SEN_ind01.pdf;94002AK0073;1;1;35;6;29;4;31;25;40m < D <= 50m;<30;1;3;NULL;1;60 X 18;13;NULL;2125208.19792864;2125265.2635874;-69.359904152052;-41.6765653367244
21;94002AF0161_01_SEN_ind01.pdf;94002AF0161;1;1;35;5;30;0;35;30;40m < D <= 50m;<30;0;1;1;0;15 X 11;6;NULL;2124556.39736471;2124568.35381247;-26.3207057947282;-17.1030953527352
22;94002AF0156_01_SEN_ind01.pdf;94002AF0156;1;1;35;5;30;1;34;29;40m < D <= 50m;<30;1;0;1;0;12 X 9;4;NULL;2124597.00998171;2124609.33709435;-27.0252702454732;-17.2504619506837
23;94002AF0060_01_SEN_ind01.pdf;94002AF0060;1;1;35;5;30;Non dtermin;NULL;non dtermin;20m < D <= 30m;entre 60 et 90;Non dtermin;1;NULL;NULL;10 X 5;NULL;NULL;2124549.31418452;2124559.25130188;-0.0809069367977902;9.16358091238786
24;94002AE0175_01_SEN_ind01.pdf;94002AE0175;1;1;35;5;30;3;32;27;20m < D <= 30m;entre 60 et 90;Non dtermin;4;0;2;30 X 25;16;NULL;2124807.09651324;2124830.12980025;-39.4129357953708;-10.6704089184358
25;94002AF0034_01_SEN_ind01.pdf;94002AF0034;1;2;35;5;30;Non dtermin;NULL;non dtermin;30m < D <= 40m;entre 60 et 90;Non dtermin;1;1;NULL;11 X 9;6;NULL;2124707.39588839;2124725.87884067;-19.5663217221987;-8.50711154054278
26;94002AE0083_01_SEN_ind01.pdf;94002AE0083;1;1;35;5;30;3;32;27;Au dessus de l'axe;entre 60 et 90;1;1;NULL;NULL;10 X 9;6;NULL;2124861.18600908;2124872.21187688;20.0106532999217;32.71259531317
27;94002AE0101_01_SEN_ind01.pdf;94002AE0101;1;2;35;5;30;3;32;27;10m < D <= 20m;entre 60 et 90;1;1;1;NULL;12 X 10;7;NULL;2124854.43812734;2124866.38192932;-14.9996296304308;-3.8517848162673
28;94002AF0035_01_SEN_ind01.pdf;94002AF0035;1;2;35;5;30;3;32;27;40m < D <= 50m;entre 60 et 90;1;1;0;0;9 X 9;5;NULL;2124712.56107084;2124724.90720211;-27.9216637532668;-17.7124632532995
29;94002AJ0086_01_SEN_ind01.pdf;94002AJ0086;1;1;35;5;30;3;32;27;Au dessus de l'axe;entre 60 et 90;1;1;1;NULL;15 X 6;7;NULL;2125021.45125341;2125029.64872572;-9.08941422947188;2.49546778012387
30;94002AJ0085_03_SEN_ind01.pdf;94002AJ0085;3;3;35;5;30;3;32;27;0m < D <= 10m;entre 60 et 90;1;1;0;0;20 X 11;7;NULL;2125042.33158178;2125058.23739114;-29.9883124898025;-10.5705312586157
31;94002AF0137_01_SEN_ind01.pdf;94002AF0137;1;1;35;5;30;1;34;29;Au-dessus de l'axe;<30;1;0;1;0;10 X 7;6;NULL;2124555.37487762;2124563.12383138;16.795605797401;26.1872198352811
32;94002AF0055_01_SEN_ind01.pdf;94002AF0055;1;1;35;5;30;0;35;30;0m < D <= 10m;<30;0;1;1;0;10 X 10;5;NULL;2124588.03042611;2124598.79529693;13.0270389069179;25.4054027277201
33;94002AF0054_01_SEN_ind01.pdf;94002AF0054;1;1;35;5;30;0;35;30;0m < D <= 10m;<30;0;1;1;0;10 X 10;5;NULL;2124598.06203729;2124608.93563289;11.5847975014334;21.2338608798615
34;94002AJ0016_01_SEN_ind01.pdf;94002AJ0016;1;1;35;5;30;8;27;22;10m < D <= 20m;entre 30 et 60;2;4;NULL;2;40 X 12;16;NULL;2125129.59710357;2125168.632049;14.2847919755369;44.3954998535851
35;94002AE0091_01_SEN_ind01.pdf;94002AE0091;1;1;35;5;30;Non dtermin;NULL;non dtermin;40m < D <= 50m;entre 60 et 90;Non dtermin;1;NULL;NULL;20 X 18;6;NULL;2124856.26171407;2124865.3198186;-47.8004080975863;-26.3674901009114
36;94002AE0100_01_SEN_ind01.pdf;94002AE0100;1;1;35;5;30;1;34;29;10m < D <= 20m;<30;1;1;0;NULL;11 X 11;7;NULL;2124843.85029454;2124855.50391714;-13.0420400380474;-1.77277834584494
37;94002AJ0085_02_SEN_ind01.pdf;94002AJ0085;2;3;35;5;30;0;35;30;0m < D <= 10m;entre 60 et 90;0;0;0;0;30 X 6;3;NULL;2125030.25140507;2125049.43487009;-44.7614113657286;-15.4629203053195
38;94002AF0155_01_SEN_ind01.pdf;94002AF0155;1;2;35;5;30;3;32;27;40m < D <= 50m;entre 60 et 90;1;2;0;0;10 X 10;6;NULL;2124585.29029553;2124597.65089345;-27.964870008745;-17.4565096590787
39;94002AF0128_01_SEN_ind01.pdf;94002AF0128;1;1;35;5;30;0;35;30;0m < D <= 10m;entre 30 et 60;0;2;0;0;11 X 10;8;NULL;2124565.99322793;2124575.98896118;17.1256661223339;25.7274294488583
40;94002AJ0131_01_SEN_ind01.pdf;94002AJ0131;1;1;34;5;29;5;29;24;30m < D <= 40m;entre 30 et 60;1;4;NULL;1;60 X 40;15;NULL;2125086.77264826;2125125.56000188;38.5041365507862;92.6089367375693
41;94002AE0085_01_SEN_ind01.pdf;94002AE0085;1;1;35;5;30;2;33;28;Au dessus de l'axe;entre 60 et 90;1;0;1;0;11 X 10;5;NULL;2124846.33514155;2124856.02263093;12.2701185008359;29.3543005356253
42;94002AF0033_01_SEN_ind01.pdf;94002AF0033;1;1;35;5;30;0;35;30;10m < D <= 20m;NULL;0;2;0;0;11 X 7;8;NULL;2124721.66454898;2124732.34924115;-1.44582851754901;7.0071457975733
43;94002AJ0061_01_SEN_ind01.pdf;94002AJ0061;1;1;35;5;30;4;31;26;30m < D <= 40m;entre 60 et 90;1;5;NULL;2;45 X 30;20;NULL;2125161.96471759;2125177.90473644;-55.2930925632794;-39.5504428287126
44;94002AE0087_01_SEN_ind01.pdf;94002AE0087;1;1;35;5;30;1;34;29;Au dessus de l'axe;entre 60 et 90;1;0;1;NULL;11 X 10;5;NULL;2124829.68587874;2124840.64840819;14.4433895622876;23.6550778809117
45;94002AF0051_01_SEN_ind01.pdf;94002AF0051;1;1;35;5;30;Non dtermin;NULL;non dtermin;30m < D <= 40m;<30;Non dtermin;1;1;NULL;12 X 9;6;NULL;2124609.28488496;2124622.71306927;-19.2271043751408;-3.43483193241578
46;94002AF0125_01_SEN_ind01.pdf;94002AF0125;1;1;35;5;30;1;34;29;20m < D <= 30m;<30;1;2;1;NULL;11 X 9;NULL;NULL;2124716.48999153;2124727.26936574;-9.69419961159489;0.644510907199221
47;94002AJ0101_01_SEN_ind01.pdf;94002AJ0101;1;2;34;5;29;3;31;26;Au dessus de l'axe;entre 60 et 90;1;1;NULL;NULL;15 X 15;5;NULL;2125034.63263778;2125049.47440231;-4.98082435281668;8.26867787162882
48;94002AF0051_02_SEN_ind01.pdf;94002AF0051;2;1;35;5;30;Non dtermin;NULL;non dtermin;40m < D <= 50m;<30;Non dtermin;1;1;NULL;7 X 7;6;NULL;2124608.21455648;2124614.49449305;-30.5677491383508;-20.8014972424887
49;94046BI0036_01_SEN_ind01.pdf;94046BI0036;1;3;35;5;30;3;32;27;Au dessus de l'axe;entre 60 et 90;1;1;1;0;20 X 10;5;NULL;2124434.6582391;2124442.55651819;14.43750265886;21.8842281557803
50;94046BI0001_04_SEN_ind02.pdf;94046BI0001;4;2;NULL;ND2;ND3;ND4;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;ND14;ND15;2124329.92508065;2124362.71150456;31.455785492065;49.5743171091062
51;94046BI0001_05_SEN_ind02.pdf;94046BI0001;5;2;NULL;ND2;ND3;ND4;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;ND14;ND15;2124334.4349878;2124367.85045905;-27.4592607981973;-9.4621123166546
52;940760V0180_01_SEN_ind01.pdf;940760V0180;1;1;99;75;24;0;99;24;30m < D <= 40m;entre 60 et 90;0;0;0;0;9 X 6;3;NULL;2129886.85979769;2129893.61458022;28.4101315688669;33.7813114128622
54;940760V0313_01_SEN_ind01.pdf;940760V0313;1;2;100;75;25;5;95;20;20m < D <= 30m;entre 60 et 90;2;10;0;1;21 X 17;30;NULL;2129935.69075541;2129970.34392617;22.9857797885909;48.5296470706862
55;940760V0152_01_SEN_ind01.pdf;940760V0152;1;1;100;75;25;6;94;19;40m < D <= 50m;entre 60 et 90;2;8;0;1;12 X 10;25;NULL;2129936.71667831;2129948.99686685;48.38048345467;61.4770651904133
56;94076BC0161_01_SEN_ind01.pdf;94076BC0161;1;1;100;66;34;2;98;32;Au dessus de l'axe;entre 60 et 90;1;0;1;0;11 X 10;10;/;2129576.18738882;2129587.92528735;-8.15135009441261;3.13290436272984
57;940760U0174_01_SEN_ind01.pdf;940760U0174;1;1;100;72;28;2;98;26;10m < D <= 20m;entre 60 et 90;1;0;1;0;10 X 9;4;NULL;2129757.96743413;2129770.14703223;7.39639708619824;18.106793669775
58;940760U0170_01_SEN_ind01.pdf;940760U0170;1;1;100;72;28;2;98;26;10m < D <= 20m;<30;1;0;1;0;9 X 8;4;NULL;2129736.51617995;2129760.03802442;5.80046982732511;16.9588630250877
59;94076BC0101_01_SEN_ind01.pdf;94076BC0101;1;1;100;64;36;2;98;34;10m < D <= 20m;entre 60 et 90;1;0;1;0;12 X 8;5;NULL;2129541.23148234;2129549.64572206;5.13545268539519;16.6343002687972
60;940760U0180_01_SEN_ind01.pdf;940760U0180;1;3;100;66;34;2;98;32;10m < D <= 20m;<30;1;4;0;0;72 X 10;15;NULL;2129552.03315833;2129624.22044878;20.3829076487171;48.7109723957315
61;94076BC0004_02_SEN_ind01.pdf;94076BC0004;2;1;99;62;37;0;99;37;30m < D <= 40m;entre 60 et 90;0;0;0;0;7 X 2;3;NULL;2129485.35414884;2129493.79779853;27.4661683358167;41.4644025211546
62;94076BC0007_02_SEN_ind01.pdf;94076BC0007;2;2;98;60;38;0;98;38;30m < D <= 40m;<30;0;0;0;0;6 X 3;2;NULL;2129456.21717802;2129470.95807188;-21.8648781379887;-15.4464658081306
64;940760U0139_01_SEN_ind01.pdf;940760U0139;1;1;100;68;32;2;98;30;10m < D <= 20m;<30;1;1;0;0;11 X 9;6;NULL;2129632.2259483;2129641.10864555;14.3858340706617;25.5349823055561
65;940760U0167_01_SEN_ind01.pdf;940760U0167;1;1;100;74;26;2;98;24;20m < D <=30m;<30;1;0;1;0;12 X 9;4;NULL;2129787.3469448;2129800.5088353;14.9069891863122;23.6313110089579
66;94076BC0181_01_SEN_ind01.pdf;94076BC0181;1;1;100;64;36;1;99;35;Au dessus de l'axe;entre 60 et 90;1;0;2;0;13 X 10;4;NULL;2129566.24253786;2129577.73655755;-3.95019654088141;8.63836408175535
68;94076BC0022_01_SEN_ind01.pdf;94076BC0022;1;1;99;62;37;0;99;37;20m < D <= 30m;entre 60 et 90;0;1;1;0;8 X 8;5;/;2129514.83133744;2129523.18423412;12.2484065097683;20.6367902935498
70;94076BC0126_01_SEN_ind01.pdf;94076BC0126;1;1;98;60;38;0;98;38;Au dessus de l'axe;entre 60 et 90;0;1;1;0;11 X 10;9;/;2129459.01651976;2129470.4176686;-0.616899221297087;10.9432073607823
71;94076BC0177_01_SEN_ind01.pdf;94076BC0177;1;1;100;66;34;0;100;34;Au dessus de l'axe;entre 60 et 90;0;2;1;0;14 X 10;11;/;2129586.60640595;2129597.28258045;-10.5668336645879;3.54105057228103
72;94076BC0217_01_SEN_ind01.pdf;94076BC0217;1;1;100;68;32;1;99;31;10m < D <= 20m;entre 60 et 90;prsence d'un sous-sol non visible;0;1;0;11 X 9;4;NULL;2129633.9290275;2129644.03423911;-21.7465253721377;-9.9814038368312
74;940760V0281_01_SEN_ind01.pdf;940760V0281;1;1;100;74;26;3;97;23;20m < D <=30m;entre 60 et 90;1;1;0;0;11 X 7;3;NULL;2129839.94711559;2129846.48661759;21.2964743462252;32.321478575801
75;94076BC0125_01_SEN_ind01.pdf;94076BC0125;1;2;98;60;38;0;98;38;Au dessus de l'axe;entre 60 et 90;0;1;1;0;11 X 10;6;Combles amnags; garages en RDC;2129457.426338;2129469.40026026;-10.6352628036422;1.02443278742024
76;940760V0313_03_SEN_ind01.pdf;940760V0313;3;1;100;75;25;5;95;20;20m < D <= 30m;<30;2;2;0;0;9 X 7;8;NULL;2129976.24534752;2129998.46246658;22.5537685419787;37.1916882457224
77;94076BC0031_01_SEN_ind01.pdf;94076BC0031;1;1;100;66;34;2;98;32;10m < D <= 20m;<30;1;1;1;0;11 X 9;6;/;2129615.8344176;2129624.94965452;-8.58924632523966;-1.65686197271867
78;940760U0176_01_SEN_ind01.pdf;940760U0176;1;1;100;74;26;Non dtermin (btiment ferm);NULL;non dtermin;10m < D <= 20m;<30;Non dtermin (btiment ferm);0;1;0;10 X 7;7;NULL;2129774.89223467;2129787.65044044;13.9757119073546;24.4880851457891
80;94076BC0183_01_SEN_ind01.pdf;94076BC0183;1;1;99;62;37;1;98;36;10m < D <= 20m;entre 60 et 90;1;0;1;0;9 X 7;5;NULL;2129506.23967803;2129514.62762911;12.6099547122611;21.5008636046677
81;94076BC0205_01_SEN_ind01.pdf;94076BC0205;1;1;98;60;38;2;96;36;20m < D <= 30m;<30;1;1;0;0;8 X 7;6;NULL;2129461.75913827;2129470.30620603;22.6902346725414;32.1177325440871
82;940760U0138_01_SEN_ind01.pdf;940760U0138;1;1;100;68;32;2;98;30;10m < D <= 20m;entre 60 et 90;1;0;1;0;17 X 8;5;NULL;2129640.34930645;2129649.17180699;7.11105885892994;24.1930103779133
83;940760U0033_01_SEN_ind01.pdf;940760U0033;1;1;100;70;30;0;100;30;10m < D <= 20m;entre 60 et 90;0;1;0;0;10 X 9;7;NULL;2129686.04072003;2129699.07012184;-19.6922519145975;-7.5339687996671
85;94076BC0008_01_SEN_ind01.pdf;94076BC0008;1;1;98;60;38;2;96;36;30m < D <= 40m;entre 60 et 90;1;0;1;0;9 X 9;4;/;2129457.58721722;2129471.8975393;-33.7179042310542;-22.2374750948506
86;94076BC0018_01_SEN_ind01.pdf;94076BC0018;1;1;99;62;37;2;97;35;30m < D <= 40m;entre 60 et 90;1;1;0;0;9 X 7;6;/;2129498.98136172;2129507.78305956;10.7091667297961;27.7729689171351
